pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
55,蚌埠,1.1,71,良,71,aqispider,27,2018-05-02 02:29:10.380000,2015-11-21,75,31
32,蚌埠,1.2,47,优,79,aqispider,41,2018-05-02 02:29:10.382000,2015-11-22,47,32
17,蚌埠,0.9,23,优,82,aqispider,29,2018-05-02 02:29:10.383000,2015-11-23,41,25
20,蚌埠,0.6,22,优,72,aqispider,14,2018-05-02 02:29:10.386000,2015-11-24,36,22
56,蚌埠,0.8,61,良,58,aqispider,19,2018-05-02 02:29:10.387000,2015-11-25,77,20
94,安阳,2.3,175,轻度污染,100,aqispider,52,2018-05-02 02:29:10.401000,2014-04-28,124,58
83,安阳,2.1,195,轻度污染,124,aqispider,57,2018-05-02 02:29:10.411000,2014-04-29,123,54
77,蚌埠,1,98,轻度污染,130,aqispider,24,2018-05-02 02:29:10.429000,2015-10-22,103,45
125,蚌埠,1.3,169,中度污染,123,aqispider,27,2018-05-02 02:29:10.432000,2015-10-23,165,46
110,蚌埠,1.2,152,轻度污染,136,aqispider,32,2018-05-02 02:29:10.433000,2015-10-24,144,42
67,蚌埠,1,102,良,121,aqispider,28,2018-05-02 02:29:10.436000,2015-10-25,90,32
87,安阳,1.8,159,轻度污染,167,aqispider,40,2018-05-02 02:29:10.446000,2014-03-31,115,42
63,蚌埠,0.8,61,良,62,aqispider,22,2018-05-02 02:29:10.450000,2015-11-26,85,20
39,蚌埠,0.7,54,良,75,aqispider,18,2018-05-02 02:29:10.453000,2015-11-27,55,25
60,蚌埠,1.1,86,良,66,aqispider,31,2018-05-02 02:29:10.455000,2015-11-28,82,44
81,蚌埠,1.2,115,轻度污染,67,aqispider,26,2018-05-02 02:29:10.462000,2015-11-29,108,53
87,安阳,1.5,201,轻度污染,137,aqispider,46,2018-05-02 02:29:10.467000,2014-04-30,126,50
52,蚌埠,0.9,74,良,95,aqispider,26,2018-05-02 02:29:10.519000,2015-10-26,72,36
42,蚌埠,0.8,83,良,97,aqispider,26,2018-05-02 02:29:10.521000,2015-10-27,67,42
50,蚌埠,1,112,良,120,aqispider,31,2018-05-02 02:29:10.523000,2015-10-28,81,50
89,蚌埠,1,144,轻度污染,104,aqispider,35,2018-05-02 02:29:10.533000,2015-10-29,118,54
168,蚌埠,2.3,202,重度污染,36,aqispider,32,2018-05-02 02:29:10.536000,2015-11-30,218,49
54,蚌埠,0.7,82,良,78,aqispider,25,2018-05-02 02:29:10.548000,2015-10-30,74,32
81,蚌埠,0.9,116,轻度污染,96,aqispider,36,2018-05-02 02:29:10.563000,2015-10-31,108,44
